1994-01-01 | Size of misc in tokens: 1321905
       210 | Gesetz zur Verlängerung der Schutzfristen für das Urheberrecht an Lichtbildern
       210 | Gesetz zur Vereinheitlichung und Flexibilisierung des Arbeitszeitrechts
       209 | Gesetz zu dem Übereinkommen vom 10. März 1988 zur Bekämpfung widerrechtlicher Handlungen gegen die Sicherheit der Seeschiffahrt und zum Protokoll vom 10. März 1988 zur Bekämpfung widerrechtlicher Handlungen gegen die Sicherheit fester Plattformen, die sich auf dem Festlandsockel befinden
       209 | Gesetz über die Errichtung der Bundesmonopolverwaltung für Branntwein
       209 | Gesetz zu dem Abkommen vom 1. Juli 2010 zwischen der Bundesrepublik Deutschland und den Vereinigten Arabischen Emiraten zur Vermeidung der Doppelbesteuerung und der Steuerverkürzung auf dem Gebiet der Steuern vom Einkommen
       208 | Zweites Gesetz über den rechtlichen Status der Main-Donau-Wasserstraße
       208 | Gesetz zu dem Vertrag vom 7. Mai 1963 zwischen der Bundesrepublik Deutschland und der Republik Österreich über Kriegsopferversorgung und Beschäftigung Schwerbeschädigter
       208 | Gesetz zu dem Abkommen vom 15. November 1971 über die Schaffung des internationalen Systems und der Organisation für kosmische Fernmeldeverbindungen "INTERSPUTNIK" und zu dem Protokoll vom 30. November 1996 über die Einbringung von Korrekturen in dieses Abkommen
       208 | Gesetz zu dem Zusatzvertrag vom 7. Februar 1969 zur Durchführung und Ergänzung des Vertrags vom 7. Mai 1963 zwischen der Bundesrepublik Deutschland und der Republik Österreich über Kriegsopferversorgung und Beschäftigung Schwerbeschädigter
       207 | Drittes Gesetz zur Änderung des Steuerberatungsgesetzes
       205 | Gesetz über die Anpassung der Renten der gesetzlichen Rentenversicherung und der Geldleistungen der gesetzlichen Unfallversicherung im Jahre 1987
       205 | Gesetz über den Beitritt der Bundesrepublik Deutschland zu den Abkommen über den Internationalen Währungsfonds (International Monetary Fund) und über die Internationale Bank für Wiederaufbau und Entwicklung (International Bank for Reconstruction and Development)
       205 | Gesetz zur Reform der agrarsozialen Sicherung
       205 | Gesetz zur Änderung und Ergänzung des Anspruchs- und Anwartschaftsüberführungsgesetzes
       204 | Gesetz über die Entschädigung nach dem Gesetz zur Regelung offener Vermögensfragen und über staatliche Ausgleichsleistungen für Enteignungen auf besatzungsrechtlicher oder besatzungshoheitlicher Grundlage
       202 | Gesetz zu dem Abkommen vom 30. September 1992 zwischen der Bundesrepublik Deutschland und der Republik Bolivien zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen
       202 | Gesetz zu dem Vertrag vom 19. Dezember 1967 zwischen der Bundesrepublik Deutschland und der Republik Österreich über Auswirkungen der Anlage und des Betriebes des Flughafens Salzburg auf das Hoheitsgebiet der Bundesrepublik Deutschland
       200 | Gesetz zur Bereinigung von Kriegsfolgengesetzen
       199 | Gesetz zu dem Vertrag vom 30. März 1967 zwischen der Bundesrepublik Deutschland und dem Königreich Dänemark über Zollerleichterungen im kleinen Grenzverkehr
       192 | Gesetz zu den Änderungsurkunden vom 24. November 2006 zur Konstitution und zur Konvention der Internationalen Fernmeldeunion vom 22. Dezember 1992
       191 | Gesetz zu dem Übereinkommen vom 29. Januar 1998 zwischen der Regierung Kanadas, Regierungen von Mitgliedstaaten der Europäischen Weltraumorganisation, der Regierung Japans, der Regierung der Russischen Föderation und der Regierung der Vereinigten Staaten von Amerika über Zusammenarbeit bei der zivilen internationalen Raumstation
       189 | Gesetz zu dem Abkommen vom 29. November 1996 zwischen der Bundesrepublik Deutschland und der Republik Estland zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen
       189 | Gesetz zu dem Abkommen vom 2. Dezember 1993 zwischen der Bundesrepublik Deutschland und der Republik Namibia zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen
       189 | Gesetz zu dem Abkommen vom 3. Dezember 1980 zwischen der Bundesrepublik Deutschland und den Vereinigten Staaten von Amerika zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Nachlaß-, Erbschaft- und Schenkungsteuern
       189 | Gesetz zu dem Abkommen vom 21. Februar 1997 zwischen der Bundesrepublik Deutschland und der Republik Lettland zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen
       189 | Gesetz zu dem Abkommen vom 22. Juli 1997 zwischen der Bundesrepublik Deutschland und der Republik Litauen zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen
       189 | Gesetz betreffend das Abkommen zwischen der Bundesrepublik Deutschland und den Vereinigten Staaten von Amerika vom 15. Oktober 1954 über die von der Bundesrepublik zu gewährenden Abgabenvergünstigungen für die von den Vereinigten Staaten im Interesse der gemeinsamen Verteidigung geleisteten Ausgaben
       188 | Gesetz zu dem Abkommen vom 14. Juli 1994 zwischen der Bundesrepublik Deutschland und der Islamischen Republik Pakistan zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen
       188 | Gesetz zu dem Abkommen vom 8. November 2007 zwischen der Bundesrepublik Deutschland und dem Königreich Saudi-Arabien zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen von Luftfahrtunternehmen und der Steuern von den Vergütungen ihrer Arbeitnehmer
       186 | Gesetz über die Errichtung eines Bundesamtes für Naturschutz
       185 | Gesetz zu dem Übereinkommen vom 18. Oktober 1969 zur Errichtung der Karibischen Entwicklungsbank
       185 | Gesetz zu dem Abkommen vom 8. Februar 1995 zwischen der Bundesrepublik Deutschland und der Republik Venezuela zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen
       185 | Gesetz betreffend die Anrufung des Gerichtshofes der Europäischen Gemeinschaften im Wege des Vorabentscheidungsverfahrens auf dem Gebiet der polizeilichen Zusammenarbeit und der justitiellen Zusammenarbeit in Strafsachen nach Artikel 35 des EU-Vertrages
       184 | Gesetz betreffend das Abkommen über Wirtschaftliche Zusammenarbeit zwischen den Vereinigten Staaten von Amerika und der Bundesrepublik Deutschland vom 15. Dezember 1949
       184 | Gesetz zu dem Vertrag vom 10. September 1984 zwischen der Bundesrepublik Deutschland und dem Königreich der Niederlande über die Zusammenarbeit im Bereich von Ems und Dollart sowie in den angrenzenden Gebieten (Kooperationsvertrag Ems-Dollart)
       184 | Gesetz über den Beitritt der Bundesrepublik Deutschland zum Abkommen über die Vorrechte und Befreiungen der Sonderorganisationen der Vereinten Nationen vom 21. November 1947 und über die Gewährung von Vorrechten und Befreiungen an andere zwischenstaatliche Organisationen
       184 | Gesetz zu dem Übereinkommen vom 4. Juni 1974 zur Verhütung der Meeresverschmutzung vom Lande aus
       183 | Gesetz zum Vertrag vom 5. Februar 1979 zwischen der Bundesrepublik Deutschland und dem Königreich Belgien über den Bau und die Unterhaltung einer Autobahnbrücke über die Our bei Steinebrück
       182 | Gesetz zu dem Abkommen vom 28. November 1984 zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft über die gegenseitige Hilfeleistung bei Katastrophen oder schweren Unglücksfällen
       182 | Gesetz zur Errichtung einer Stiftung "Deutsche Bundesstiftung Umwelt"
       182 | Gesetz zu dem Übereinkommen vom 29. Oktober 1971 zum Schutz der Hersteller von Tonträgern gegen die unerlaubte Vervielfältigung ihrer Tonträger
       181 | Gesetz über den Aufruf der Gläubiger der I. G. Farbenindustrie Aktiengesellschaft in Abwicklung
       180 | Gesetz zu dem Übereinkommen vom 4. August 1963 zur Errichtung der Afrikanischen Entwicklungsbank
       179 | Gesetz zu dem Vertrag vom 2. Februar 2000 zwischen der Bundesrepublik Deutschland und der Tschechischen Republik über die Ergänzung des Europäischen Übereinkommens über die Rechtshilfe in Strafsachen vom 20. April 1959 und die Erleichterung seiner Anwendung
       178 | Gesetz zu dem Abkommen vom 2. März 1978 zwischen der Bundesrepublik Deutschland und dem Großherzogtum Luxemburg über die gegenseitige Hilfeleistung bei Katastrophen oder schweren Unglücksfällen
       178 | Gesetz zu dem Abkommen vom 6. November 1980 zwischen der Bundesrepublik Deutschland und dem Königreich Belgien über die gegenseitige Hilfeleistung bei Katastrophen oder schweren Unglücksfällen
       178 | Gesetz zu dem Abkommen vom 16. Mai 1985 zwischen der Bundesrepublik Deutschland und dem Königreich Dänemark über die gegenseitige Hilfeleistung bei Katastrophen oder schweren Unglücksfällen
       178 | Gesetz zu dem Abkommen vom 3. Februar 1977 zwischen der Bundesrepublik Deutschland und der Französischen Republik über die gegenseitige Hilfeleistung bei Katastrophen oder schweren Unglücksfällen
       177 | Gesetz zu den Änderungen vom 13. Februar 1997 des Übereinkommens zur Gründung der Europäischen Fernmeldesatellitenorganisation "EUTELSAT" (EUTELSAT-Übereinkommen)
       177 | Gesetz zu dem Abkommen vom 8. Dezember 1990 zwischen der Bundesrepublik Deutschland und der Republik Polen über Soziale Sicherheit
       177 | Gesetz zu dem Abkommen vom 19. September 2011 zwischen der Bundesrepublik Deutschland und der Republik Türkei zur Vermeidung der Doppelbesteuerung und der Steuerverkürzung auf dem Gebiet der Steuern vom Einkommen
       177 | Gesetz zu den Änderungen vom 1. September 1995 des Übereinkommens über die Internationale Fernmeldesatellitenorganisation "INTELSAT"
       176 | Gesetz zu dem Abkommen vom 26. November 1997 zwischen der Bundesrepublik Deutschland und der Republik Kasachstan zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen
       175 | Gesetz zur Änderung schadensersatzrechtlicher Vorschriften
       174 | Gesetz zur Änderung des Luftverkehrsgesetzes
       173 | Gesetz zu dem Protokoll vom 12. Februar 1981 zur Änderung des Internationalen Übereinkommens über Zusammenarbeit zur Sicherung der Luftfahrt "EUROCONTROL" vom 13. Dezember 1960 und zu der Mehrseitigen Vereinbarung vom 12. Februar 1981 über Flugsicherungs-Streckengebühren
       173 | Gesetz zur Einführung einer kapitalgedeckten Hüttenknappschaftlichen Zusatzversicherung und zur Änderung anderer Gesetze
       172 | Gesetz zu dem Abkommen vom 5. März 1993 zwischen der Bundesrepublik Deutschland und der Republik Chile über Rentenversicherung
       171 | Gesetz zu dem Übereinkommen vom 10. April 1972 über das Verbot der Entwicklung, Herstellung und Lagerung bakteriologischer (biologischer) Waffen und von Toxinwaffen sowie über die Vernichtung solcher Waffen
       170 | Gesetz zu dem Übereinkommen vom 4. Dezember 1965 zur Errichtung der Asiatischen Entwicklungsbank
       170 | Gesetz zu dem Abkommen vom 13. Dezember 2000 zwischen der Bundesrepublik Deutschland und Australien über Soziale Sicherheit
       169 | Gesetz zur Änderung und Ergänzung des Gesetzes zur Wiedergutmachung nationalsozialistischen Unrechts in der Kriegsopferversorgung für Berechtigte im Ausland
       169 | Gesetz zum Europäischen Übereinkommen vom 16. Mai 1972 über Staatenimmunität
       168 | Gesetz zu dem Abkommen vom 10. März 2000 zwischen der Bundesrepublik Deutschland und der Republik Korea über Soziale Sicherheit
       168 | Gesetz zur Auflösung der Urkundenstellen in den Ländern Brandenburg, Mecklenburg-Vorpommern, Sachsen, Sachsen-Anhalt und Thüringen
       168 | Gesetz zu dem Abkommen vom 16. April 1984 zwischen der Bundesrepublik Deutschland und der Tunesischen Republik über Soziale Sicherheit, dem Zusatzprotokoll zu diesem Abkommen und der Vereinbarung zur Durchführung des Abkommens
       168 | Gesetz zu dem Abkommen vom 25. März 1981 zwischen der Bundesrepublik Deutschland und dem Königreich Marokko über Soziale Sicherheit und zu der Vereinbarung vom 19. April 1984 zur Durchführung dieses Abkommens
       167 | Gesetz über den Zahlungsverkehr mit Gerichten und Justizbehörden
       167 | Gesetz zu dem Vertrag vom 19. September 2000 zwischen der Bundesrepublik Deutschland und der Tschechischen Republik über die gegenseitige Hilfeleistung bei Katastrophen und schweren Unglücksfällen
       167 | Gesetz zu dem Rahmenabkommen vom 22. Juli 2005 zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Französischen Republik über die grenzüberschreitende Zusammenarbeit im Gesundheitsbereich und zu der Verwaltungsvereinbarung vom 9. März 2006 zwischen dem Bundesministerium für Gesundheit der Bundesrepublik Deutschland und dem Minister für Gesundheit und Solidarität der Französischen Republik über die Durchführungsmodalitäten des Rahmenabkommens vom 22. Juli 2005 über die grenzüberschreitende Zusammenarbeit im Gesundheitsbereich
       166 | Gesetz zur Änderung des Abkommens über die Internationale Bank für Wiederaufbau und Entwicklung und des Abkommens über die Internationale Finanz-Corporation
       166 | Gesetz zu dem Abkommen vom 20. März 1995 zwischen der Bundesrepublik Deutschland und der Republik Polen über den Zusammenschluß der deutschen Bundesstraße B 97 und der polnischen Landesstraße 274 sowie über den Bau einer Grenzbrücke im Raum Guben und Gubinek
       165 | Gesetz zu dem Vertrag vom 12. September 2000 zwischen der Bundesrepublik Deutschland und der Tschechischen Republik über den Zusammenschluss der deutschen Autobahn A 17 und der tschechischen Autobahn D 8 an der gemeinsamen Staatsgrenze durch Errichtung einer Grenzbrücke
       164 | Gesetz zu dem Zusatzabkommen vom 5. November 2002 zum Abkommen vom 11. April 1967 zwischen der Bundesrepublik Deutschland und dem Königreich Belgien zur Vermeidung der Doppelbesteuerungen und zur Regelung verschiedener anderer Fragen auf dem Gebiete der Steuern vom Einkommen und vom Vermögen einschließlich der Gewerbesteuer und der Grundsteuern
       164 | Gesetz zu dem Übereinkommen vom 13. November 1991 zwischen den Mitgliedstaaten der Europäischen Gemeinschaften über die Vollstreckung ausländischer strafrechtlicher Verurteilungen
       163 | Gesetz betreffend die Inhaberpapiere mit Prämien
       161 | Gesetz zum Schengener Informationssystem der zweiten Generation
       161 | Gesetz zu dem Abkommen vom 10. April 1997 zwischen der Bundesrepublik Deutschland und der Republik Polen über die gegenseitige Hilfeleistung bei Katastrophen oder schweren Unglücksfällen
       161 | Gesetz zu dem Europäischen Übereinkommen vom 15. Dezember 1958 über den Austausch therapeutischer Substanzen menschlichen Ursprungs
       160 | Gesetz zur Durchführung des Ersten Abkommens zur Vereinheitlichung des Luftprivatrechts
       160 | Gesetz zu dem Abkommen vom 20. März 1995 zwischen der Bundesrepublik Deutschland und der Republik Polen über den Autobahnzusammenschluß sowie über den Bau und den Umbau einer Grenzbrücke im Raum Forst und Erlenholz (Olszyna)
       160 | Gesetz über die Anwendung und Änderung bewertungsrechtlicher Vorschriften
       160 | Gesetz zu dem Protokoll vom 24. Juni 2013 zur Änderung des Abkommens vom 4. Oktober 1991 zwischen der Bundesrepublik Deutschland und dem Königreich Norwegen zur Vermeidung der Doppelbesteuerung und über gegenseitige Amtshilfe auf dem Gebiet der Steuern vom Einkommen und vom Vermögen sowie des dazugehörigen Protokolls
       159 | Gesetz zu dem Zweiten Zusatzabkommen vom 6. März 1995 zum Abkommen vom 7. Januar 1976 zwischen der Bundesrepublik Deutschland und den Vereinigten Staaten von Amerika über Soziale Sicherheit und zu der Zweiten Zusatzvereinbarung vom 6. März 1995 zur Vereinbarung vom 21. Juni 1978 zur Durchführung des Abkommens
       158 | Gesetz über die Neuordnung der Rundfunkanstalten des Bundesrechts und des RIAS Berlin
       158 | Gesetz über die Aufhebung des staatlichen Schleppmonopols auf den westdeutschen Kanälen
       158 | Gesetz über den Schutz der Urheberrechte der Angehörigen der Vereinigten Staaten von Amerika
       158 | Gesetz zu dem Abkommen vom 18. April 1994 zwischen der Bundesrepublik Deutschland und dem Großherzogtum Luxemburg über den Autobahnzusammenschluß und den Bau einer Grenzbrücke über die Mosel im Raum Perl und Schengen
       157 | Gesetz zu dem Vertrag vom 5. Juni 1996 zwischen der Bundesrepublik Deutschland und der Französischen Republik über den Bau einer Straßenbrücke über den Rhein zwischen Altenheim und Eschau
       155 | Gesetz über die erweiterte Zulassung von Schadenersatzansprüchen bei Dienst- und Arbeitsunfällen
       155 | Gesetz zu dem Vertrag vom 13. Juli 1995 zwischen der Bundesrepublik Deutschland und der Tschechischen Republik über den Zusammenschluß der deutschen Autobahn A 6 und der tschechischen Autobahn D 5 an der gemeinsamen Staatsgrenze durch Errichtung einer Grenzbrücke
       155 | Gesetz zu dem Protokoll vom 3. Juni 1971 betreffend die Auslegung des Übereinkommens vom 27. September 1968 über die gerichtliche Zuständigkeit und die Vollstreckung gerichtlicher Entscheidungen in Zivil- und Handelssachen durch den Gerichtshof
       155 | Gesetz zur Änderung des Strafgesetzbuches, der Strafprozeßordnung, des Gerichtsverfassungsgesetzes, der Bundesrechtsanwaltsordnung und des Strafvollzugsgesetzes
       154 | Sozialgesetzbuch - Gemeinsame Vorschriften für die Sozialversicherung -
       153 | Gesetz zu dem Abkommen vom 12. Juli 2001 zwischen der Bundesrepublik Deutschland und der Volksrepublik China über Sozialversicherung
       153 | Gesetz über den rechtlichen Status der Rhein-Main-Donau-Großschiffahrtsstraße zwischen dem Main und Nürnberg und über die damit zusammenhängenden Eigentumsverhältnisse
       149 | Gesetz zur Durchführung des mittelfristigen finanziellen Beistands in der Europäischen Wirtschaftsgemeinschaft
       149 | Gesetz zu den Verträgen vom 27. Juli 1984 des Weltpostvereins
       148 | Gesetz zu dem Übereinkommen vom 16. September 1988 über die gerichtliche Zuständigkeit und die Vollstreckung gerichtlicher Entscheidungen in Zivil- und Handelssachen
       148 | Gesetz zur Änderung von Kostenermächtigungen, sozialversicherungsrechtlichen und anderen Vorschriften
       148 | Gesetz zu dem Vertrag vom 17. Juli 2003 zwischen der Bundesrepublik Deutschland und der Republik Polen über die Ergänzung des Europäischen Übereinkommens vom 20. April 1959 über die Rechtshilfe in Strafsachen und die Erleichterung seiner Anwendung
       148 | Gesetz zur Verbesserung des Schutzes vor Fluglärm in der Umgebung von Flugplätzen
       147 | Zweites Gesetz zur Anpassung bestimmter Bedingungen in der Seeschifffahrt an den internationalen Standard
       146 | Gesetz zu dem Abkommen vom 29. Juli 1992 zwischen der Bundesrepublik Deutschland und der Republik Polen über den Autobahnzusammenschluß und den Bau von Grenzabfertigungsanlagen für den neuen Grenzübergang im Raum Görlitz und Zgorzelec
       145 | Gesetz zur Änderung des Einkommensteuergesetzes, des Körperschaftsteuergesetzes, des Gewerbesteuergesetzes, des Bewertungsgesetzes, des Vermögensteuergesetzes, des Steuersäumnisgesetzes, der Reichsabgabenordnung, des Steueranpassungsgesetzes, des Gesetzes zur Förderung der Wirtschaft von Berlin (West) und andere Gesetze
       145 | Gesetz über die Durchführung von Statistiken auf dem Gebiet der Kriegsopferfürsorge
       145 | Gesetz zu dem Abkommen vom 20. März 1995 zwischen der Bundesrepublik Deutschland und der Republik Polen über die Erhaltung der Grenzbrücken im Zuge der deutschen Bundesfernstraßen und der polnischen Landesstraßen an der deutsch-polnischen Grenze
       145 | Gesetz über Fremdwährungs-Schuldverschreibungen
       144 | Gesetz über die Fortzahlung des Arbeitsentgelts im Krankheitsfall und über Änderungen des Rechts der gesetzlichen Krankenversicherung
       143 | Gesetz über die zentrale Archivierung von Unterlagen aus dem Bereich des Kriegsfolgenrechts
       143 | Gesetz zur Neuordnung der Krankenhausfinanzierung
       142 | Gesetz zu dem Vertrag vom 13. Juli 1995 zwischen der Bundesrepublik Deutschland und der Tschechischen Republik über den Bau einer Grenzbrücke an der gemeinsamen Staatsgrenze im Zuge der Europastraße E 49
       141 | Zweites Gesetz zur Änderung des Gesetzes über das Kreditwesen
       140 | Gesetz zur Verbesserung der steuerlichen Bedingungen zur Sicherung des Wirtschaftsstandorts Deutschland im Europäischen Binnenmarkt
       140 | Gesetz zu dem Basler Übereinkommen vom 22. März 1989 über die Kontrolle der grenzüberschreitenden Verbringung gefährlicher Abfälle und ihrer Entsorgung
       140 | Gesetz zu dem Abkommen vom 23. April 1993 zwischen der Bundesrepublik Deutschland und der Republik Polen über den Autobahnzusammenschluß im Raum Frankfurt/Oder und Schwetig
       139 | Gesetz zu dem Vertrag vom 24. Juni 1994 über den Beitritt des Königreichs Norwegen, der Republik Österreich, der Republik Finnland und des Königreichs Schweden zur Europäischen Union
       139 | Gesetz über die Gebühren des Oberprüfungsamtes für die höheren technischen Verwaltungsbeamten
       138 | Viertes Zolländerungsgesetz 1957
       138 | Sechstes Gesetz zur Änderung des Sozialgerichtsgesetzes
       136 | Gesetz über die Wahl der Vertreter der Bundesrepublik Deutschland zur Parlamentarischen Versammlung des Europarates
       134 | Gesetz zu dem Abkommen vom 2. März 2009 zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Insel Man zur Vermeidung der Doppelbesteuerung von im internationalen Verkehr tätigen Schifffahrtsunternehmen
       134 | Erstes Gesetz zur Änderung des Heimgesetzes
       134 | Gesetz über Maßnahmen zur Entlastung der öffentlichen Haushalte sowie über strukturelle Anpassungen in dem in Artikel 3 des Einigungsvertrages genannten Gebiet
       133 | Gesetz zur Reform des Vermögensteuerrechts und zur Änderung anderer Steuergesetze
       133 | Gesetz über die Errichtung des Bundesamtes für Bevölkerungsschutz und Katastrophenhilfe
       133 | Gesetz zu dem Abkommen vom 14. Juli 1992 zwischen der Bundesrepublik Deutschland und dem Königreich Schweden zur Vermeidung der Doppelbesteuerung bei den Steuern vom Einkommen und vom Vermögen sowie bei den Erbschaft- und Schenkungsteuern und zur Leistung gegenseitigen Beistands bei den Steuern
       133 | Gesetz über die Zusammenlegung des Bundesamtes für Wirtschaft mit dem Bundesausfuhramt
       132 | Gesetz über die Freigabe der stillgelegten Mittel aus der Steuer für den Selbstverbrauch sowie über die Aufhebung der Stillegungspflicht für künftig aufkommende Beträge
       132 | Gesetz zur Ergänzung des Dritten Gesetzes über die Übernahme von Sicherheitsleistungen und Gewährleistungen zur Förderung der deutschen Wirtschaft
       130 | Gesetz zu dem Vertrag vom 19. Mai 1995 zwischen der Bundesrepublik Deutschland und der Tschechischen Republik über Erleichterungen der Grenzabfertigung im Eisenbahn-, Straßen- und Schiffsverkehr
       130 | Zweites Gesetz zur Änderung des Heimgesetzes
       130 | Gesetz über Zahlungsverbindlichkeiten gegenüber dem Ausland
       130 | Gesetz zu dem Allgemeinen Abkommen vom 7. Dezember 1957 zwischen der Bundesrepublik Deutschland und dem Königreich Belgien über Soziale Sicherheit nebst Schlußprotokoll, der Ersten, Zweiten und Dritten Zusatzvereinbarung und dem Zusatzprotokoll zu dem Abkommen
       129 | Gesetz zu dem Internationalen Schiffsvermessungs-Übereinkommen vom 23. Juni 1969
       127 | Gesetz über die Stellung des Landes Berlin im Finanzsystem des Bundes
       124 | Gesetz zu dem Vertrag vom 3. September 2008 zwischen der Bundesrepublik Deutschland und dem Königreich Dänemark über eine Feste Fehmarnbeltquerung
       124 | Gesetz zu dem Vertrag vom 17. Februar 1966 zwischen der Bundesrepublik Deutschland und der Republik Österreich über den Durchgangsverkehr auf den Straßen an der Walchen Ache und am Pittenbach sowie zum Bächen- und Rißtal im deutschen und österreichischen Grenzgebiet
       124 | Gesetz über die Berechnung strafrechtlicher Verjährungsfristen
       123 | Gesetz zu dem Vertrag vom 13. Mai 2002 zwischen der Bundesrepublik Deutschland und Kanada über die Rechtshilfe in Strafsachen
       123 | Gesetz zu dem Abkommen vom 29. Juli 1992 zwischen der Bundesrepublik Deutschland und der Republik Polen über Erleichterungen der Grenzabfertigung
       123 | Erstes Gesetz zur Neuordnung von Selbstverwaltung und Eigenverantwortung in der gesetzlichen Krankenversicherung
       123 | Gesetz zu dem Übereinkommen vom 8. September 1976 über die Ausstellung mehrsprachiger Auszüge aus Personenstandsbüchern
       122 | Gesetz zu dem Fakultativprotokoll vom 18. Dezember 2002 zum Übereinkommen gegen Folter und andere grausame, unmenschliche oder erniedrigende Behandlung oder Strafe
       122 | Gesetz zu dem Internationalen Fernmeldevertrag vom 25. Oktober 1973
       121 | Gesetz zu dem Internationalen Übereinkommen vom 2. Dezember 1946 zur Regelung des Walfangs
       121 | Gesetz über Finanzhilfen des Bundes nach Artikel 104a Abs. 4 des Grundgesetzes an die Länder Bremen, Hamburg, Mecklenburg-Vorpommern, Niedersachsen sowie Schleswig-Holstein für Seehäfen
       121 | Gesetz zu dem Europäischen Übereinkommen vom 28. Juni 1978 über die Kontrolle des Erwerbs und Besitzes von Schußwaffen durch Einzelpersonen
       121 | Gesetz zu dem Übereinkommen vom 5. September 1980 über die Ausstellung von Ehefähigkeitszeugnissen
       120 | Gesetz zu dem Abkommen vom 29. Juni 2012 zwischen der Bundesrepublik Deutschland und dem Globalen Treuhandfonds für Nutzpflanzenvielfalt über den Sitz des Globalen Treuhandfonds für Nutzpflanzenvielfalt
       119 | Viertes Gesetz zur Änderung des Zollgesetzes
       119 | Gesetz zu dem Abkommen vom 27. Februar 1976 zwischen der Bundesrepublik Deutschland und dem Königreich Schweden über Soziale Sicherheit
       119 | Drittes Gesetz über die Übernahme von Sicherheitsleistungen und Gewährleistungen zur Förderung der deutschen Wirtschaft
       118 | Gesetz zur Änderung von örtlichen Zuständigkeiten der Landesversicherungsanstalten in Niedersachsen und zur Änderung des Bundesversorgungsgesetzes
       117 | Gesetz zur Durchführung von Richtlinien der Europäischen Wirtschaftsgemeinschaft über die Niederlassungsfreiheit und den freien Dienstleistungsverkehr
       116 | Gesetz zur beschleunigten Abwicklung einiger Altforderungen
       116 | Gesetz über die Freigabe der stillgelegten Mittel aus dem Zuschlag zur Einkommensteuer und zur Körperschaftsteuer sowie über die Aufhebung der Stillegungspflicht für künftig aufkommende Beträge
       112 | Gesetz zu dem Abkommen vom 26. Januar 1960 über die Internationale Entwicklungsorganisation
       112 | Gesetz zur Änderung des Ersten Wohnungsbaugesetzes und des Zweiten Wohnungsbaugesetzes
       111 | Gesetz zur Sammlung von Nachrichten über Kriegsgefangene, festgehaltene oder verschleppte Zivilpersonen und Vermißte
       111 | Gesetz über die nachträgliche Umstellung von Kontoguthaben, über die Tilgung von Anteilrechten an der Altguthaben-Ablösungs-Anleihe, zur Änderung lastenausgleichsrechtlicher Bestimmungen und zur Ergänzung des Gesetzes über die Errichtung der "Staatlichen Versicherung der DDR in Abwicklung"
       111 | Gesetz zu dem Zusatzabkommen vom 2. November 1984 zum Abkommen vom 30. April 1964 zwischen der Bundesrepublik Deutschland und der Republik Türkei über Soziale Sicherheit und zu der Vereinbarung vom 2. November 1984 zur Durchführung des Abkommens
       110 | Gesetz zu dem Übereinkommen vom 19. Mai 1956 über den Beförderungsvertrag im internationalen Straßengüterverkehr (CMR)
       110 | Gesetz zur Regelung der Altschulden für gesellschaftliche Einrichtungen, zur Änderung des Erblastentilgungsfonds-Gesetzes und zur Änderung des Investitionsförderungsgesetzes Aufbau Ost
       110 | Gesetz zur Aufhebung des Strukturhilfegesetzes und zur Aufstockung des Fonds "Deutsche Einheit"
       110 | Gesetz zu dem Straßburger Übereinkommen vom 4. November 1988 über die Beschränkung der Haftung in der Binnenschiffahrt (CLNI)
       109 | Gesetz zur Aufhebung von Fideikommiss-Auflösungsrecht
       109 | Fünftes Gesetz zur Änderung des Sozialgerichtsgesetzes
       108 | Viertes Gesetz zur Änderung des Soldatengesetzes
       107 | Gesetz betreffend das Zusatzprotokoll vom 6. September 1989 zu dem Übereinkommen vom 4. September 1958 über den internationalen Austausch von Auskünften in Personenstandsangelegenheiten
       107 | Gesetz zu dem Vertrag vom 17. Februar 1966 zwischen der Bundesrepublik Deutschland und der Republik Österreich über den Durchgangsverkehr auf der Roßfeldstraße
       107 | Gesetz zu dem Abkommen vom 18. September 1998 zwischen der Regierung der Bundesrepublik Deutschland und der Europäischen Zentralbank über den Sitz der Europäischen Zentralbank
       107 | Gesetz zur Überleitung der Beteiligung des ehemaligen Landes Preußen am Grundkapital der Deutschen Pfandbriefanstalt auf den Bund
       106 | Gesetz zur Änderung des Bundeskleingartengesetzes
       106 | Gesetz zu dem Abkommen vom 7. Dezember 2011 zwischen der Bundesrepublik Deutschland und dem Vereinigten Königreich Großbritannien und Nordirland zur Vermeidung der Doppelbelastung bei der Bankenabgabe
